Active_node1,Reactive_node1,Active_node2,Reactive_node2,Active_node3,Reactive_node3,Active_node4,Reactive_node4,Active_node5,Reactive_node5,Active_node6,Reactive_node6,Active_node7,Reactive_node7,Active_node8,Reactive_node8
0.441996931,0.185638711,0.441996931,0.185638711,0.441996931,0.185638711,0.441996931,0.185638711,0.441996931,0.185638711,0.441996931,0.185638711,0.441996931,0.185638711,0.441996931,0.185638711
0.416128743,0.174774072,0.416128743,0.174774072,0.416128743,0.174774072,0.416128743,0.174774072,0.416128743,0.174774072,0.416128743,0.174774072,0.416128743,0.174774072,0.416128743,0.174774072
0.399748541,0.167894387,0.399748541,0.167894387,0.399748541,0.167894387,0.399748541,0.167894387,0.399748541,0.167894387,0.399748541,0.167894387,0.399748541,0.167894387,0.399748541,0.167894387
0.389813008,0.163721463,0.389813008,0.163721463,0.389813008,0.163721463,0.389813008,0.163721463,0.389813008,0.163721463,0.389813008,0.163721463,0.389813008,0.163721463,0.389813008,0.163721463
0.386411655,0.162292895,0.386411655,0.162292895,0.386411655,0.162292895,0.386411655,0.162292895,0.386411655,0.162292895,0.386411655,0.162292895,0.386411655,0.162292895,0.386411655,0.162292895
0.395362585,0.166052286,0.395362585,0.166052286,0.395362585,0.166052286,0.395362585,0.166052286,0.395362585,0.166052286,0.395362585,0.166052286,0.395362585,0.166052286,0.395362585,0.166052286
0.431971889,0.181428194,0.431971889,0.181428194,0.431971889,0.181428194,0.431971889,0.181428194,0.431971889,0.181428194,0.431971889,0.181428194,0.431971889,0.181428194,0.431971889,0.181428194
0.494091345,0.207518365,0.494091345,0.207518365,0.494091345,0.207518365,0.494091345,0.207518365,0.494091345,0.207518365,0.494091345,0.207518365,0.494091345,0.207518365,0.494091345,0.207518365
0.53956207,0.226616069,0.53956207,0.226616069,0.53956207,0.226616069,0.53956207,0.226616069,0.53956207,0.226616069,0.53956207,0.226616069,0.53956207,0.226616069,0.53956207,0.226616069
0.569100139,0.239022059,0.569100139,0.239022059,0.569100139,0.239022059,0.569100139,0.239022059,0.569100139,0.239022059,0.569100139,0.239022059,0.569100139,0.239022059,0.569100139,0.239022059
0.600696923,0.252292708,0.600696923,0.252292708,0.600696923,0.252292708,0.600696923,0.252292708,0.600696923,0.252292708,0.600696923,0.252292708,0.600696923,0.252292708,0.600696923,0.252292708
